,Store,Type,Fecha,2017,2018,2019,2020,2021
0,CALBUMAR,Camisa Outdoor,2019-07-27,,,1.0,,
1,CALBUMAR,Camisa Outdoor,2019-12-17,,,0.99,,
2,CALBUMAR,Camisa Outdoor,2020-02-10,,,,1.0,
3,CALBUMAR,Camisa Outdoor,2020-07-31,,,,1.0,
4,CALBUMAR,Camisa Outdoor,2020-09-02,,,,1.0,
5,CALBUMAR,Camisa Outdoor,2020-09-11,,,,1.0,
6,CALBUMAR,Camisa Outdoor,2020-09-15,,,,1.0,
7,CALBUMAR,Camisa Outdoor,2020-09-16,,,,2.99,
8,CALBUMAR,Camisa Outdoor,2020-09-25,,,,1.0,
9,CALBUMAR,Camisa Outdoor,2020-09-29,,,,1.0,
10,CALBUMAR,Chaqueta Outdoor,2018-08-29,,-1.0,,,
11,CALBUMAR,Cortaviento Outdoor,2018-09-12,,0.99,,,
12,CALBUMAR,Cortaviento Outdoor,2018-09-13,,1.0,,,
13,CALBUMAR,Cortaviento Outdoor,2018-09-14,,1.0,,,
14,CALBUMAR,Cortaviento Outdoor,2018-09-20,,0.99,,,
15,CALBUMAR,Cortaviento Outdoor,2018-09-22,,1.0,,,
16,CALBUMAR,Cortaviento Outdoor,2018-09-24,,1.0,,,
17,CALBUMAR,Cortaviento Outdoor,2018-09-25,,2.0,,,
18,CALBUMAR,Cortaviento Outdoor,2018-09-26,,1.0,,,
19,CALBUMAR,Cortaviento Outdoor,2018-09-27,,1.0,,,
20,CALBUMAR,Cortaviento Outdoor,2018-09-28,,2.0,,,
21,CALBUMAR,Cortaviento Outdoor,2018-09-29,,1.0,,,
22,CALBUMAR,Cortaviento Outdoor,2018-10-01,,0.99,,,
23,CALBUMAR,Cortaviento Outdoor,2018-10-02,,2.0,,,
24,CALBUMAR,Cortaviento Outdoor,2018-10-04,,1.0,,,
25,CALBUMAR,Cortaviento Outdoor,2018-10-13,,1.0,,,
26,CALBUMAR,Cortaviento Outdoor,2018-10-17,,1.0,,,
27,CALBUMAR,Cortaviento Outdoor,2018-10-18,,0.99,,,
28,CALBUMAR,Cortaviento Outdoor,2018-10-25,,1.0,,,
29,CALBUMAR,Cortaviento Outdoor,2018-11-08,,1.0,,,
30,CALBUMAR,Cortaviento Outdoor,2018-11-09,,1.0,,,
31,CALBUMAR,Cortaviento Outdoor,2018-11-13,,0.99,,,
32,CALBUMAR,Cortaviento Outdoor,2018-12-03,,1.0,,,
33,CALBUMAR,Cortaviento Outdoor,2019-03-06,,,2.0,,
34,CALBUMAR,Cortaviento Outdoor,2019-03-18,,,1.0,,
35,CALBUMAR,Cortaviento Outdoor,2019-04-06,,,1.0,,
36,CALBUMAR,Cortaviento Outdoor,2019-04-18,,,0.99,,
37,CALBUMAR,Cortaviento Outdoor,2019-05-11,,,2.0,,
38,CALBUMAR,Cortaviento Outdoor,2019-05-23,,,1.0,,
39,CALBUMAR,Cortaviento Outdoor,2019-06-01,,,1.0,,
40,CALBUMAR,Cortaviento Outdoor,2019-06-21,,,1.0,,
41,CALBUMAR,Cortaviento Outdoor,2019-06-22,,,1.0,,
42,CALBUMAR,Cortaviento Outdoor,2019-06-28,,,0.99,,
43,CALBUMAR,Cortaviento Outdoor,2019-07-02,,,1.0,,
44,CALBUMAR,Cortaviento Outdoor,2019-08-09,,,0.99,,
45,CALBUMAR,Cortaviento Outdoor,2019-09-17,,,1.0,,
46,CALBUMAR,Cortaviento Outdoor,2019-09-24,,,0.99,,
47,CALBUMAR,Cortaviento Outdoor,2019-09-27,,,0.99,,
48,CALBUMAR,Cortaviento Outdoor,2019-09-28,,,2.99,,
49,CALBUMAR,Cortaviento Outdoor,2019-09-30,,,1.0,,
50,CALBUMAR,Cortaviento Outdoor,2019-10-09,,,1.0,,
51,CALBUMAR,Cortaviento Outdoor,2019-10-10,,,1.0,,
52,CALBUMAR,Cortaviento Outdoor,2019-10-14,,,1.9800000000000002,,
53,CALBUMAR,Cortaviento Outdoor,2019-10-15,,,1.0,,
54,CALBUMAR,Cortaviento Outdoor,2019-10-22,,,1.0,,
55,CALBUMAR,Cortaviento Outdoor,2019-10-30,,,1.0,,
56,CALBUMAR,Cortaviento Outdoor,2019-10-31,,,1.0,,
57,CALBUMAR,Cortaviento Outdoor,2019-11-02,,,1.0,,
58,CALBUMAR,Cortaviento Outdoor,2019-11-05,,,2.0,,
59,CALBUMAR,Cortaviento Outdoor,2019-11-11,,,1.0,,
60,CALBUMAR,Cortaviento Outdoor,2019-11-14,,,1.0,,
61,CALBUMAR,Cortaviento Outdoor,2019-11-15,,,1.0,,
62,CALBUMAR,Cortaviento Outdoor,2019-11-30,,,1.0,,
63,CALBUMAR,Cortaviento Outdoor,2019-12-02,,,1.0,,
64,CALBUMAR,Cortaviento Outdoor,2019-12-27,,,1.0,,
65,CALBUMAR,Cortaviento Outdoor,2019-12-30,,,1.0,,
66,CALBUMAR,Cortaviento Outdoor,2020-01-17,,,,1.0,
67,CALBUMAR,Cortaviento Outdoor,2020-02-06,,,,1.0,
68,CALBUMAR,Cortaviento Outdoor,2020-03-03,,,,0.99,
69,CALBUMAR,Cortaviento Outdoor,2020-03-06,,,,1.0,
70,CALBUMAR,Cortaviento Outdoor,2020-03-13,,,,1.99,
71,CALBUMAR,Cortaviento Outdoor,2020-03-16,,,,1.0,
72,CALBUMAR,Cortaviento Outdoor,2020-04-09,,,,1.0,
73,CALBUMAR,Cortaviento Outdoor,2020-04-28,,,,1.0,
74,CALBUMAR,Cortaviento Outdoor,2020-05-04,,,,1.0,
75,CALBUMAR,Cortaviento Outdoor,2020-05-07,,,,0.99,
76,CALBUMAR,Cortaviento Outdoor,2020-05-08,,,,1.9899999999999998,
77,CALBUMAR,Cortaviento Outdoor,2020-05-16,,,,2.0,
78,CALBUMAR,Cortaviento Outdoor,2020-06-01,,,,0.99,
79,CALBUMAR,Cortaviento Outdoor,2020-06-02,,,,1.0,
80,CALBUMAR,Cortaviento Outdoor,2020-06-09,,,,1.0,
81,CALBUMAR,Cortaviento Outdoor,2020-06-17,,,,-1.0,
